#1, Buffy;	Closet Monster;	
$, Claw;	"OnCreativity";	
$, Homo;	Nykytaiteen museo;	
$, Homo;	Suuri illusioni;	
$, Steve;	E.R. Sluts;	
$hutter;	Battle of the Sexes;	
$hutter;	NVTION: The Star Nation Rapumentary;	
$hutter;	Secret in Their Eyes;	
$hutter;	Steve Job;	
$hutter;	Straight Outta Compton;	
$lim, Bee Moe;	Fatherhood 101;	
$lim, Bee Moe;	For Thy Love;	
$lim, Bee Moe;	Night of the Jackals;	
$lim, Bee Moe;	"Idle Talk";	
$lim, Bee Moe;	"Idle Times";	
$lim, Bee Moe;	"Idle Times";	
$lim, Bee Moe;	"Idle Times";	
$lim, Bee Moe;	"Idle Times";	
$lim, Bee Moe;	"Idle Times";	
$lim, Bee Moe;	"Money Power & Respect: The Series";	
$lim, Bee Moe;	"Money Power & Respect: The Series";	
$lim, Bee Moe;	"Red River";	
$lim, Bee Moe;	"Red River";	
$ly, Yung;	Town Bizzness Pt 3;	
$ly, Yung;	"From Tha Bottom 2 Tha Top";	
$ly, Yung;	"From Tha Bottom 2 Tha Top";	
$torm, Cuntry;	From the Woods: The Discovery of LYB;	
& Davi, Bruninho;	Michel na Balada;	
& Davi, Bruninho;	Michel TelÛ: Sunset;	
& Davi, Bruninho;	"M˙sica Boa Ao Vivo";	
& Davi, Bruninho;	"Programa da Sabrina";	
& Dollar Furado, Caio Corsalette;	"Som Brasil";	
& Fabiano, CÈsar Menotti;	Nascemos para Cantar;	
& Fabiano, CÈsar Menotti;	Show da Virada;	
& Fabiano, CÈsar Menotti;	Teleton 2010;	
& Fabiano, CÈsar Menotti;	"Altas Horas";	
& Fabiano, CÈsar Menotti;	"Altas Horas";	
& Fabiano, CÈsar Menotti;	"Eliana";	
& Fabiano, CÈsar Menotti;	"Esquenta!";	
& Fabiano, CÈsar Menotti;	"Legend·rios";	
& Fabiano, CÈsar Menotti;	"Tamanho FamÌlia";	
& Fabiano, CÈsar Menotti;	"Tudo … PossÌvel";	
& Fabiano, CÈsar Menotti;	"TV Xuxa";	
& Grand Piano Boogie Train, Jaap Dekker;	"Barend en Van Dorp";	
& Ralph, Christian;	"Roberto Carlos Especial";	
& The Oriental Groove, Yacine;	"Els matins a TV3";	
& VinÌcius, Jo„o Bosco;	Show da Virada;	
& VinÌcius, Jo„o Bosco;	Teleton 2009;	
& VinÌcius, Jo„o Bosco;	Teleton 2012;	
& VinÌcius, Jo„o Bosco;	"Eliana";	
& VinÌcius, Jo„o Bosco;	"M˙sica Boa Ao Vivo";	
' Chris Focus' Adolphus, Chris;	Virtues of Habit;	
' Danilo' Jurado Jr., Jori;	Lapis, Ballpen at Diploma, a True to Life Journey;	
''El Lobo'' Rubio, Humberto;	24∞ 51' Latitud Norte;	
''El Lobo'' Rubio, Humberto;	Episodio de Una Espera;	
''Hooper''Kelly, Simon;	Solitary;	
'77;	"Tria33";	
'77 Big Smoker Pig;	"Pop r‡pid";	
'Angel' Garrett, Christopher;	A Call in the Dark;	
'Angel' Garrett, Christopher;	Zombie Reign: Revelation;	
'Ariffin, Syaiful;	Desire;	
'Aruhane;	Shaping Bamboo;	
'Atu'ake, Taipaleti;	When the Man Went South;	
'Avacado' Wolfe, David;	The Gift;	
'Az-Is' Shearer, Zamien;	"Exit";	
'Az-Is' Shearer, Zamien;	"Exit";	
'babeepower' Viera, Michael;	Little Angel (Angelita);	
'babeepower' Viera, Michael;	Mixing Nia;	
'babeepower' Viera, Michael;	Rock Steady;	
'babeepower' Viera, Michael;	W8 (Weight);	
'babeepower' Viera, Michael;	"In the Mix";	
'babeepower' Viera, Michael;	"Swift Justice";	
'babeepower' Viera, Michael;	"The Lyricist Lounge Show";	
'Bear'Boyd, Steven;	The Replacements;	
'bliss' Vilbon, Kirlew;	All Out Dysfunktion!;	
'bliss' Vilbon, Kirlew;	Gook;	
'Boogie' Brown, Steve;	Bait Shop;	
'Bootsy' Thomas, George;	My Song for You;	
'Boretta' Torres, Pete;	Hustle Beach;	
'Buguelo' Neto, Alderico;	Babado Novo: Ver-te Mar;	
'Buguelo' Neto, Alderico;	Claudia Leitte: Ao Vivo em Copacabana;	
'Buguelo' Neto, Alderico;	Claudia Leitte: Axemusic - Ao Vivo;	
'Buguelo' Neto, Alderico;	Claudia Leitte: Negalora - Õntimo;	
'Buguelo' Neto, Alderico;	Roupa Ac˙stico 2;	
'Buguelo' Neto, Alderico;	Uau! Babado Novo Ao Vivo em Salvador;	
'Buguelo' Neto, Alderico;	"Caldeir„o do Huck";	
'Builder Bill' Ammons, Bill;	Welcome to Slab City;	
'Byron' Sese, Joseph;	Mariano Mison... NBI;	
'Calica' Ferrer, Carlos;	La huella del doctor Ernesto Guevara;	
'Cartucho' Pena, Ramon;	Natas es Satan;	
'Chago' Felix, Santiago;	Shadow Girl;	
'Cherry, Sahel;	The Emancipation of Anemone;	
'Chincheta', Eloy;	°Ja me maaten...!;	
